"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 29 10:11:01 UTC 2021","Sat May 29 10:11:30 UTC 2021","28811","","EEM Complex","","","","Create new EEM Complex (example #1)",""
"passed","Sat May 29 10:20:34 UTC 2021","Sat May 29 10:20:57 UTC 2021","23508","","Graduation Project","","","","Edit graduation project topic (example #2)",""
"failed","Sat May 29 10:14:19 UTC 2021","Sat May 29 10:14:52 UTC 2021","32855","","EEM Complex","","","","User can see the Map EEM Complex (example #2)",""
"passed","Sat May 29 10:18:01 UTC 2021","Sat May 29 10:18:27 UTC 2021","26359","","Graduation Project","","","","Assign graduation project topic to student (example #1)",""
"failed","Sat May 29 10:14:52 UTC 2021","Sat May 29 10:15:32 UTC 2021","40167","","EEM Complex","","","","User can see the Map EEM Complex (example #3)",""
"passed","Sat May 29 10:26:12 UTC 2021","Sat May 29 10:26:50 UTC 2021","37376","","Interactive Book","","","","Delete interactive book child topic (example #2)",""
"passed","Sat May 29 10:13:55 UTC 2021","Sat May 29 10:14:21 UTC 2021","26565","","Graduation Project","","","","Student select graduation project topic (example #2)",""
"failed","Sat May 29 10:15:59 UTC 2021","Sat May 29 10:16:33 UTC 2021","33855","","Interactive Book","","","","Student see interactive book content (example #1)",""
"failed","Sat May 29 10:16:35 UTC 2021","Sat May 29 10:17:16 UTC 2021","40415","","Graduation Project","","","","Confirm student on graduation project topic (example #3)",""
"passed","Sat May 29 10:12:14 UTC 2021","Sat May 29 10:12:54 UTC 2021","39585","","Interactive Book","","","","Create new interactive book topic (example #3)",""
"passed","Sat May 29 10:18:26 UTC 2021","Sat May 29 10:18:58 UTC 2021","32303","","EEM Complex","","","","Open created EEM Complex (example #4)",""
"failed","Sat May 29 10:16:41 UTC 2021","Sat May 29 10:17:14 UTC 2021","32630","","EEM Complex","","","","Open created EEM Complex (example #1)",""
"failed","Sat May 29 10:15:38 UTC 2021","Sat May 29 10:16:19 UTC 2021","41374","","Course Project","","","","Confirm student on course project topic (example #1)",""
"passed","Sat May 29 10:13:21 UTC 2021","Sat May 29 10:13:55 UTC 2021","33327","","Graduation Project","","","","Student select graduation project topic (example #1)",""
"failed","Sat May 29 10:28:23 UTC 2021","Sat May 29 10:29:00 UTC 2021","37160","","EEM Complex","","","","Edit EEM Complex (example #3)",""
"failed","Sat May 29 10:18:42 UTC 2021","Sat May 29 10:19:22 UTC 2021","40048","","Course Project","","","","Assign course project topic to student (example #2)",""
"passed","Sat May 29 10:27:33 UTC 2021","Sat May 29 10:27:59 UTC 2021","25871","","EEM Complex","","","","Edit EEM Complex (example #1)",""
"failed","Sat May 29 10:22:14 UTC 2021","Sat May 29 10:22:46 UTC 2021","31862","","Course Project","","","","Student see edited course project topic (example #1)",""
"passed","Sat May 29 10:11:35 UTC 2021","Sat May 29 10:12:03 UTC 2021","27605","","Graduation Project","","","","Create new graduation project topic (example #2)",""
"failed","Sat May 29 10:20:57 UTC 2021","Sat May 29 10:21:38 UTC 2021","40789","","EEM Complex","","","","Add folder to EEM Complex section (example #3)",""
"passed","Sat May 29 10:17:14 UTC 2021","Sat May 29 10:17:47 UTC 2021","32863","","EEM Complex","","","","Open created EEM Complex (example #2)",""
"passed","Sat May 29 10:19:34 UTC 2021","Sat May 29 10:20:15 UTC 2021","41550","","EEM Complex","","","","Add folder to EEM Complex section (example #1)",""
"passed","Sat May 29 10:25:00 UTC 2021","Sat May 29 10:25:37 UTC 2021","36751","","Course Project","","","","Delete course project topic (example #2)",""
"failed","Sat May 29 10:16:19 UTC 2021","Sat May 29 10:17:01 UTC 2021","41815","","Course Project","","","","Confirm student on course project topic (example #2)",""
"failed","Sat May 29 10:14:21 UTC 2021","Sat May 29 10:14:44 UTC 2021","22489","","Graduation Project","","","","Student select graduation project topic (example #3)",""
"passed","Sat May 29 10:19:25 UTC 2021","Sat May 29 10:20:10 UTC 2021","45063","","Interactive Book","","","","Add interactive book child topic (example #3)",""
"passed","Sat May 29 10:18:07 UTC 2021","Sat May 29 10:18:46 UTC 2021","39670","","Interactive Book","","","","Add interactive book child topic (example #1)",""
"passed","Sat May 29 10:12:03 UTC 2021","Sat May 29 10:12:34 UTC 2021","30558","","Graduation Project","","","","Create new graduation project topic (example #3)",""
"failed","Sat May 29 10:30:38 UTC 2021","Sat May 29 10:31:23 UTC 2021","45018","","EEM Complex","","","","Delete EEM Complex (example #2)",""
"passed","Sat May 29 10:13:45 UTC 2021","Sat May 29 10:14:19 UTC 2021","33786","","EEM Complex","","","","User can see the Map EEM Complex (example #1)",""
"failed","Sat May 29 10:23:00 UTC 2021","Sat May 29 10:24:13 UTC 2021","73073","","EEM Complex","","","","Add file to EEM Complex section (example #1)",""
"passed","Sat May 29 10:25:47 UTC 2021","Sat May 29 10:26:41 UTC 2021","54404","","EEM Complex","","","","Add file to EEM Complex section (example #4)",""
"passed","Sat May 29 10:28:06 UTC 2021","Sat May 29 10:28:44 UTC 2021","37616","","Interactive Book","","","","Edit interactive book topic (example #1)",""
"passed","Sat May 29 10:14:46 UTC 2021","Sat May 29 10:15:21 UTC 2021","34832","","Interactive Book","","","","Add text to interactive book topic (example #3)",""
"failed","Sat May 29 10:24:17 UTC 2021","Sat May 29 10:25:00 UTC 2021","43427","","Course Project","","","","Delete course project topic (example #1)",""
"passed","Sat May 29 10:20:48 UTC 2021","Sat May 29 10:21:16 UTC 2021","27459","","Course Project","","","","Edit course project topic (example #2)",""
"failed","Sat May 29 10:22:46 UTC 2021","Sat May 29 10:23:17 UTC 2021","31462","","Course Project","","","","Student see edited course project topic (example #2)",""
"failed","Sat May 29 10:29:55 UTC 2021","Sat May 29 10:30:38 UTC 2021","43037","","EEM Complex","","","","Delete EEM Complex (example #1)",""
