"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 28 19:47:07 UTC 2021","Fri May 28 19:47:47 UTC 2021","39285","","EEM Complex","","","","Add file to EEM Complex section (example #4)",""
"failed","Fri May 28 19:32:08 UTC 2021","Fri May 28 19:32:39 UTC 2021","31816","","EEM Complex","","","","Create new EEM Complex (example #4)",""
"failed","Fri May 28 19:40:50 UTC 2021","Fri May 28 19:41:26 UTC 2021","35561","","Graduation Project","","","","Student see edited graduation Project topic (example #3)",""
"passed","Fri May 28 19:41:29 UTC 2021","Fri May 28 19:42:01 UTC 2021","31704","","Course Project","","","","Edit course project topic (example #2)",""
"passed","Fri May 28 19:39:02 UTC 2021","Fri May 28 19:39:32 UTC 2021","29978","","Course Project","","","","Assign course project topic to student (example #2)",""
"failed","Fri May 28 19:35:30 UTC 2021","Fri May 28 19:36:12 UTC 2021","41990","","EEM Complex","","","","User can see the Map EEM Complex (example #4)",""
"passed","Fri May 28 19:50:52 UTC 2021","Fri May 28 19:51:23 UTC 2021","31170","","Interactive Book","","","","Delete interactive book topic (example #2)",""
"failed","Fri May 28 19:34:16 UTC 2021","Fri May 28 19:34:48 UTC 2021","31951","","Course Project","","","","Student select course project topic (example #3)",""
"passed","Fri May 28 19:39:32 UTC 2021","Fri May 28 19:40:01 UTC 2021","28521","","Course Project","","","","Assign course project topic to student (example #3)",""
"passed","Fri May 28 19:32:48 UTC 2021","Fri May 28 19:33:22 UTC 2021","34198","","Interactive Book","","","","Add text to interactive book topic (example #1)",""
"failed","Fri May 28 19:44:39 UTC 2021","Fri May 28 19:45:12 UTC 2021","32820","","Course Project","","","","Student see edited course project topic (example #3)",""
"failed","Fri May 28 19:31:39 UTC 2021","Fri May 28 19:32:20 UTC 2021","40838","","Course Project","","","","Create new course project topic (example #3)",""
"passed","Fri May 28 19:37:43 UTC 2021","Fri May 28 19:38:19 UTC 2021","36437","","EEM Complex","","","","Open created EEM Complex (example #2)",""
"failed","Fri May 28 19:45:51 UTC 2021","Fri May 28 19:46:35 UTC 2021","44321","","Course Project","","","","Delete course project topic (example #1)",""
"failed","Fri May 28 19:53:37 UTC 2021","Fri May 28 19:54:18 UTC 2021","41258","","EEM Complex","","","","Delete EEM Complex (example #3)",""
"failed","Fri May 28 19:40:28 UTC 2021","Fri May 28 19:40:50 UTC 2021","22470","","Graduation Project","","","","Student see edited graduation Project topic (example #2)",""
"passed","Fri May 28 19:31:28 UTC 2021","Fri May 28 19:32:05 UTC 2021","37342","","Interactive Book","","","","Create new interactive book topic (example #3)",""
"passed","Fri May 28 19:45:13 UTC 2021","Fri May 28 19:45:49 UTC 2021","36282","","Interactive Book","","","","Delete interactive book child topic (example #1)",""
"passed","Fri May 28 19:46:35 UTC 2021","Fri May 28 19:47:11 UTC 2021","35923","","Course Project","","","","Delete course project topic (example #2)",""
