"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 28 18:37:53 UTC 2021","Fri May 28 18:38:36 UTC 2021","43094","","EEM Complex","","","","Add folder to EEM Complex section (example #2)",""
"passed","Fri May 28 18:44:17 UTC 2021","Fri May 28 18:44:52 UTC 2021","34846","","Interactive Book","","","","Delete interactive book child topic (example #3)",""
"failed","Fri May 28 18:49:25 UTC 2021","Fri May 28 18:50:00 UTC 2021","35329","","EEM Complex","","","","Delete EEM Complex (example #3)",""
"passed","Fri May 28 18:43:40 UTC 2021","Fri May 28 18:44:17 UTC 2021","36998","","Interactive Book","","","","Delete interactive book child topic (example #2)",""
"passed","Fri May 28 18:39:08 UTC 2021","Fri May 28 18:39:39 UTC 2021","30667","","Course Project","","","","Edit course project topic (example #2)",""
"passed","Fri May 28 18:32:37 UTC 2021","Fri May 28 18:33:11 UTC 2021","33539","","EEM Complex","","","","User can see the Map EEM Complex (example #4)",""
"failed","Fri May 28 18:46:11 UTC 2021","Fri May 28 18:46:48 UTC 2021","37183","","Interactive Book","","","","Edit interactive book topic (example #2)",""
"failed","Fri May 28 18:38:22 UTC 2021","Fri May 28 18:39:08 UTC 2021","45425","","Course Project","","","","Edit course project topic (example #1)",""
"passed","Fri May 28 18:27:56 UTC 2021","Fri May 28 18:28:39 UTC 2021","42110","","Interactive Book","","","","Create new interactive book topic (example #1)",""
"passed","Fri May 28 18:46:48 UTC 2021","Fri May 28 18:47:34 UTC 2021","46151","","Interactive Book","","","","Edit interactive book topic (example #3)",""
"passed","Fri May 28 18:48:55 UTC 2021","Fri May 28 18:49:26 UTC 2021","30589","","Interactive Book","","","","Delete interactive book topic (example #2)",""
"failed","Fri May 28 18:30:35 UTC 2021","Fri May 28 18:31:09 UTC 2021","33786","","Course Project","","","","Student select course project topic (example #1)",""
"passed","Fri May 28 18:45:34 UTC 2021","Fri May 28 18:46:11 UTC 2021","36383","","Interactive Book","","","","Edit interactive book topic (example #1)",""
"passed","Fri May 28 18:39:16 UTC 2021","Fri May 28 18:39:54 UTC 2021","37827","","EEM Complex","","","","Add folder to EEM Complex section (example #4)",""
"passed","Fri May 28 18:35:14 UTC 2021","Fri May 28 18:35:37 UTC 2021","23524","","Graduation Project","","","","Assign graduation project topic to student (example #3)",""
"passed","Fri May 28 18:28:16 UTC 2021","Fri May 28 18:28:43 UTC 2021","26726","","EEM Complex","","","","Create new EEM Complex (example #2)",""
"failed","Fri May 28 18:33:43 UTC 2021","Fri May 28 18:34:28 UTC 2021","44741","","Course Project","","","","Confirm student on course project topic (example #2)",""
"failed","Fri May 28 18:47:58 UTC 2021","Fri May 28 18:48:42 UTC 2021","44266","","EEM Complex","","","","Delete EEM Complex (example #1)",""
"passed","Fri May 28 18:38:59 UTC 2021","Fri May 28 18:39:25 UTC 2021","25782","","Graduation Project","","","","Student see edited graduation Project topic (example #3)",""
"passed","Fri May 28 18:36:40 UTC 2021","Fri May 28 18:37:05 UTC 2021","25152","","Graduation Project","","","","Edit graduation project topic (example #2)",""
"passed","Fri May 28 18:36:44 UTC 2021","Fri May 28 18:37:14 UTC 2021","30569","","Course Project","","","","Assign course project topic to student (example #2)",""
"failed","Fri May 28 18:50:00 UTC 2021","Fri May 28 18:50:44 UTC 2021","43328","","EEM Complex","","","","Delete EEM Complex (example #4)",""
"failed","Fri May 28 18:42:14 UTC 2021","Fri May 28 18:42:47 UTC 2021","33233","","Course Project","","","","Student see edited course project topic (example #3)",""
"failed","Fri May 28 18:30:47 UTC 2021","Fri May 28 18:31:20 UTC 2021","33340","","Graduation Project","","","","Student select graduation project topic (example #3)",""
"passed","Fri May 28 18:29:54 UTC 2021","Fri May 28 18:30:21 UTC 2021","27353","","Graduation Project","","","","Student select graduation project topic (example #1)",""
"passed","Fri May 28 18:45:51 UTC 2021","Fri May 28 18:46:16 UTC 2021","25374","","EEM Complex","","","","Edit EEM Complex (example #2)",""
"passed","Fri May 28 18:37:05 UTC 2021","Fri May 28 18:37:33 UTC 2021","27489","","Graduation Project","","","","Edit graduation project topic (example #3)",""
"passed","Fri May 28 18:29:32 UTC 2021","Fri May 28 18:29:59 UTC 2021","26327","","EEM Complex","","","","Create new EEM Complex (example #4)",""
"failed","Fri May 28 18:31:42 UTC 2021","Fri May 28 18:32:16 UTC 2021","33243","","Course Project","","","","Student select course project topic (example #3)",""
"failed","Fri May 28 18:34:28 UTC 2021","Fri May 28 18:35:08 UTC 2021","40863","","Course Project","","","","Confirm student on course project topic (example #3)",""
"failed","Fri May 28 18:40:56 UTC 2021","Fri May 28 18:41:41 UTC 2021","44772","","Course Project","","","","Student see edited course project topic (example #1)",""
"passed","Fri May 28 18:27:47 UTC 2021","Fri May 28 18:28:16 UTC 2021","28891","","EEM Complex","","","","Create new EEM Complex (example #1)",""
"passed","Fri May 28 18:48:22 UTC 2021","Fri May 28 18:48:55 UTC 2021","33003","","Interactive Book","","","","Delete interactive book topic (example #1)",""
"passed","Fri May 28 18:30:21 UTC 2021","Fri May 28 18:30:47 UTC 2021","25661","","Graduation Project","","","","Student select graduation project topic (example #2)",""
"failed","Fri May 28 18:42:36 UTC 2021","Fri May 28 18:43:16 UTC 2021","40445","","EEM Complex","","","","Add file to EEM Complex section (example #3)",""
"passed","Fri May 28 18:32:34 UTC 2021","Fri May 28 18:33:03 UTC 2021","29457","","Graduation Project","","","","Confirm student on graduation project topic (example #2)",""
"passed","Fri May 28 18:41:53 UTC 2021","Fri May 28 18:42:36 UTC 2021","43229","","EEM Complex","","","","Add file to EEM Complex section (example #2)",""
"failed","Fri May 28 18:48:42 UTC 2021","Fri May 28 18:49:25 UTC 2021","42993","","EEM Complex","","","","Delete EEM Complex (example #2)",""
"passed","Fri May 28 18:37:14 UTC 2021","Fri May 28 18:37:40 UTC 2021","26180","","Course Project","","","","Assign course project topic to student (example #3)",""
"passed","Fri May 28 18:44:53 UTC 2021","Fri May 28 18:45:28 UTC 2021","34736","","Course Project","","","","Delete course project topic (example #3)",""
"passed","Fri May 28 18:28:47 UTC 2021","Fri May 28 18:29:16 UTC 2021","29204","","Graduation Project","","","","Create new graduation project topic (example #3)",""
"passed","Fri May 28 18:31:54 UTC 2021","Fri May 28 18:32:28 UTC 2021","34134","","Interactive Book","","","","Add text to interactive book topic (example #3)",""
"failed","Fri May 28 18:46:16 UTC 2021","Fri May 28 18:46:53 UTC 2021","37042","","EEM Complex","","","","Edit EEM Complex (example #3)",""
"passed","Fri May 28 18:43:03 UTC 2021","Fri May 28 18:43:40 UTC 2021","37707","","Interactive Book","","","","Delete interactive book child topic (example #1)",""
"failed","Fri May 28 18:35:57 UTC 2021","Fri May 28 18:36:44 UTC 2021","46725","","Course Project","","","","Assign course project topic to student (example #1)",""
"failed","Fri May 28 18:41:41 UTC 2021","Fri May 28 18:42:14 UTC 2021","33440","","Course Project","","","","Student see edited course project topic (example #2)",""
"passed","Fri May 28 18:46:53 UTC 2021","Fri May 28 18:47:17 UTC 2021","24109","","EEM Complex","","","","Edit EEM Complex (example #4)",""
"failed","Fri May 28 18:31:09 UTC 2021","Fri May 28 18:31:42 UTC 2021","33236","","Course Project","","","","Student select course project topic (example #2)",""
"passed","Fri May 28 18:35:51 UTC 2021","Fri May 28 18:36:21 UTC 2021","29959","","EEM Complex","","","","Open created EEM Complex (example #4)",""
