"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 15 09:18:15 UTC 2021","Tue Jun 15 09:18:47 UTC 2021","31654","","EEM Complex","","","","Edit EEM Complex (example #2)",""
"failed","Tue Jun 15 09:10:17 UTC 2021","Tue Jun 15 09:11:07 UTC 2021","50224","","EEM Complex","","","","Add folder to EEM Complex section (example #3)",""
"failed","Tue Jun 15 09:03:26 UTC 2021","Tue Jun 15 09:03:58 UTC 2021","31492","","Graduation Project","","","","Confirm student on graduation project topic (example #1)",""
"failed","Tue Jun 15 09:06:09 UTC 2021","Tue Jun 15 09:06:54 UTC 2021","45838","","Graduation Project","","","","Assign graduation project topic to student (example #1)",""
"failed","Tue Jun 15 09:13:32 UTC 2021","Tue Jun 15 09:13:56 UTC 2021","23659","","Course Project","","","","Student see edited course project topic (example #2)",""
"failed","Tue Jun 15 09:04:47 UTC 2021","Tue Jun 15 09:05:33 UTC 2021","45762","","Graduation Project","","","","Confirm student on graduation project topic (example #3)",""
"passed","Tue Jun 15 09:01:54 UTC 2021","Tue Jun 15 09:02:26 UTC 2021","31508","","Interactive Book","","","","Add text to interactive book topic (example #2)",""
"failed","Tue Jun 15 09:03:58 UTC 2021","Tue Jun 15 09:04:47 UTC 2021","49079","","Graduation Project","","","","Confirm student on graduation project topic (example #2)",""
"failed","Tue Jun 15 09:03:08 UTC 2021","Tue Jun 15 09:03:59 UTC 2021","50662","","EEM Complex","","","","User can see the Map EEM Complex (example #3)",""
"passed","Tue Jun 15 09:06:54 UTC 2021","Tue Jun 15 09:07:17 UTC 2021","22698","","Graduation Project","","","","Assign graduation project topic to student (example #2)",""
"passed","Tue Jun 15 09:05:32 UTC 2021","Tue Jun 15 09:06:11 UTC 2021","39770","","Interactive Book","","","","Add interactive book child topic (example #1)",""
"passed","Tue Jun 15 09:19:38 UTC 2021","Tue Jun 15 09:20:05 UTC 2021","27184","","EEM Complex","","","","Edit EEM Complex (example #4)",""
"passed","Tue Jun 15 09:08:26 UTC 2021","Tue Jun 15 09:08:54 UTC 2021","27345","","Course Project","","","","Assign course project topic to student (example #3)",""
"failed","Tue Jun 15 09:01:59 UTC 2021","Tue Jun 15 09:02:45 UTC 2021","46326","","Graduation Project","","","","Student select graduation project topic (example #3)",""
"failed","Tue Jun 15 09:18:47 UTC 2021","Tue Jun 15 09:19:38 UTC 2021","51491","","EEM Complex","","","","Edit EEM Complex (example #3)",""
"failed","Tue Jun 15 09:09:27 UTC 2021","Tue Jun 15 09:10:10 UTC 2021","43409","","Course Project","","","","Edit course project topic (example #1)",""
"passed","Tue Jun 15 09:13:37 UTC 2021","Tue Jun 15 09:14:07 UTC 2021","29948","","Graduation Project","","","","Delete graduation project topic (example #2)",""
"failed","Tue Jun 15 09:22:34 UTC 2021","Tue Jun 15 09:23:20 UTC 2021","45108","","EEM Complex","","","","Delete EEM Complex (example #3)",""
"failed","Tue Jun 15 09:05:26 UTC 2021","Tue Jun 15 09:06:22 UTC 2021","55352","","Course Project","","","","Confirm student on course project topic (example #3)",""
"passed","Tue Jun 15 09:04:07 UTC 2021","Tue Jun 15 09:04:35 UTC 2021","27332","","Interactive Book","","","","Student see interactive book content (example #2)",""
"failed","Tue Jun 15 09:13:56 UTC 2021","Tue Jun 15 09:14:46 UTC 2021","50665","","Course Project","","","","Student see edited course project topic (example #3)",""
"failed","Tue Jun 15 09:20:45 UTC 2021","Tue Jun 15 09:21:40 UTC 2021","54961","","EEM Complex","","","","Delete EEM Complex (example #1)",""
"passed","Tue Jun 15 09:17:31 UTC 2021","Tue Jun 15 09:18:09 UTC 2021","38316","","Interactive Book","","","","Edit interactive book topic (example #3)",""
"passed","Tue Jun 15 09:15:48 UTC 2021","Tue Jun 15 09:16:40 UTC 2021","52618","","EEM Complex","","","","Add file to EEM Complex section (example #4)",""
"failed","Tue Jun 15 09:01:23 UTC 2021","Tue Jun 15 09:01:54 UTC 2021","31109","","Interactive Book","","","","Add text to interactive book topic (example #1)",""
"failed","Tue Jun 15 09:12:49 UTC 2021","Tue Jun 15 09:13:37 UTC 2021","48666","","Graduation Project","","","","Delete graduation project topic (example #1)",""
"passed","Tue Jun 15 08:59:20 UTC 2021","Tue Jun 15 08:59:54 UTC 2021","34442","","Interactive Book","","","","Create new interactive book topic (example #2)",""
"failed","Tue Jun 15 09:21:40 UTC 2021","Tue Jun 15 09:22:34 UTC 2021","54366","","EEM Complex","","","","Delete EEM Complex (example #2)",""
"passed","Tue Jun 15 09:12:11 UTC 2021","Tue Jun 15 09:12:41 UTC 2021","30084","","Interactive Book","","","","Student cannot see hide interactive book (example #2)",""
"passed","Tue Jun 15 09:05:23 UTC 2021","Tue Jun 15 09:05:59 UTC 2021","36052","","EEM Complex","","","","Open created EEM Complex (example #1)",""
"passed","Tue Jun 15 08:59:20 UTC 2021","Tue Jun 15 08:59:51 UTC 2021","30835","","Course Project","","","","Create new course project topic (example #2)",""
"passed","Tue Jun 15 09:01:57 UTC 2021","Tue Jun 15 09:02:33 UTC 2021","36012","","EEM Complex","","","","User can see the Map EEM Complex (example #1)",""
"passed","Tue Jun 15 09:14:07 UTC 2021","Tue Jun 15 09:14:38 UTC 2021","30686","","Graduation Project","","","","Delete graduation project topic (example #3)",""
"passed","Tue Jun 15 09:08:33 UTC 2021","Tue Jun 15 09:09:12 UTC 2021","38636","","Interactive Book","","","","Hide interactive book child topic (example #1)",""
"passed","Tue Jun 15 09:11:07 UTC 2021","Tue Jun 15 09:11:49 UTC 2021","41579","","EEM Complex","","","","Add folder to EEM Complex section (example #4)",""
"failed","Tue Jun 15 08:59:38 UTC 2021","Tue Jun 15 09:00:37 UTC 2021","58626","","EEM Complex","","","","Create new EEM Complex (example #3)",""
"passed","Tue Jun 15 08:59:51 UTC 2021","Tue Jun 15 09:00:25 UTC 2021","34023","","Course Project","","","","Create new course project topic (example #3)",""
"passed","Tue Jun 15 09:02:26 UTC 2021","Tue Jun 15 09:03:00 UTC 2021","34413","","Interactive Book","","","","Add text to interactive book topic (example #3)",""
"passed","Tue Jun 15 09:00:59 UTC 2021","Tue Jun 15 09:01:31 UTC 2021","31945","","Course Project","","","","Student select course project topic (example #1)",""
"failed","Tue Jun 15 09:23:20 UTC 2021","Tue Jun 15 09:24:05 UTC 2021","45505","","EEM Complex","","","","Delete EEM Complex (example #4)",""
"failed","Tue Jun 15 09:11:29 UTC 2021","Tue Jun 15 09:12:16 UTC 2021","47093","","Graduation Project","","","","Student see edited graduation Project topic (example #3)",""
"passed","Tue Jun 15 08:59:33 UTC 2021","Tue Jun 15 09:00:01 UTC 2021","28492","","Graduation Project","","","","Create new graduation project topic (example #3)",""
"failed","Tue Jun 15 09:10:18 UTC 2021","Tue Jun 15 09:11:07 UTC 2021","48475","","Graduation Project","","","","Student see edited graduation Project topic (example #1)",""
"passed","Tue Jun 15 09:07:13 UTC 2021","Tue Jun 15 09:07:42 UTC 2021","28970","","Course Project","","","","Assign course project topic to student (example #1)",""
"failed","Tue Jun 15 09:12:40 UTC 2021","Tue Jun 15 09:14:05 UTC 2021","84640","","EEM Complex","","","","Add file to EEM Complex section (example #1)",""
"failed","Tue Jun 15 09:16:58 UTC 2021","Tue Jun 15 09:17:31 UTC 2021","32935","","Interactive Book","","","","Edit interactive book topic (example #2)",""
"passed","Tue Jun 15 08:59:11 UTC 2021","Tue Jun 15 08:59:38 UTC 2021","27319","","EEM Complex","","","","Create new EEM Complex (example #2)",""
"passed","Tue Jun 15 09:13:43 UTC 2021","Tue Jun 15 09:14:18 UTC 2021","35183","","Interactive Book","","","","Delete interactive book child topic (example #1)",""
"failed","Tue Jun 15 09:14:58 UTC 2021","Tue Jun 15 09:15:48 UTC 2021","49694","","EEM Complex","","","","Add file to EEM Complex section (example #3)",""
