"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 29 09:19:05 UTC 2021","Sat May 29 09:19:39 UTC 2021","33887","","Graduation Project","","","","Delete graduation project topic (example #1)",""
"failed","Sat May 29 09:16:11 UTC 2021","Sat May 29 09:16:52 UTC 2021","40783","","EEM Complex","","","","Add folder to EEM Complex section (example #3)",""
"passed","Sat May 29 09:21:08 UTC 2021","Sat May 29 09:21:58 UTC 2021","49877","","EEM Complex","","","","Add file to EEM Complex section (example #4)",""
"failed","Sat May 29 09:23:11 UTC 2021","Sat May 29 09:23:45 UTC 2021","33597","","Interactive Book","","","","Edit interactive book topic (example #2)",""
"passed","Sat May 29 09:08:24 UTC 2021","Sat May 29 09:08:51 UTC 2021","27550","","Graduation Project","","","","Student select graduation project topic (example #2)",""
"passed","Sat May 29 09:12:15 UTC 2021","Sat May 29 09:12:56 UTC 2021","41017","","Interactive Book","","","","Add interactive book child topic (example #1)",""
"passed","Sat May 29 09:07:38 UTC 2021","Sat May 29 09:08:10 UTC 2021","32377","","Interactive Book","","","","Add text to interactive book topic (example #1)",""
"failed","Sat May 29 09:11:00 UTC 2021","Sat May 29 09:11:35 UTC 2021","34408","","Course Project","","","","Confirm student on course project topic (example #2)",""
"passed","Sat May 29 09:20:31 UTC 2021","Sat May 29 09:21:09 UTC 2021","38101","","Course Project","","","","Delete course project topic (example #2)",""
"failed","Sat May 29 09:21:20 UTC 2021","Sat May 29 09:21:56 UTC 2021","36069","","Interactive Book","","","","Delete interactive book child topic (example #3)",""
"failed","Sat May 29 09:13:09 UTC 2021","Sat May 29 09:13:46 UTC 2021","36726","","Graduation Project","","","","Assign graduation project topic to student (example #2)",""
"failed","Sat May 29 09:06:02 UTC 2021","Sat May 29 09:06:54 UTC 2021","51480","","Graduation Project","","","","Create new graduation project topic (example #3)",""
"passed","Sat May 29 09:05:33 UTC 2021","Sat May 29 09:06:01 UTC 2021","27537","","EEM Complex","","","","Create new EEM Complex (example #2)",""
"failed","Sat May 29 09:18:41 UTC 2021","Sat May 29 09:19:14 UTC 2021","32641","","Course Project","","","","Student see edited course project topic (example #3)",""
"passed","Sat May 29 09:20:43 UTC 2021","Sat May 29 09:21:20 UTC 2021","36553","","Interactive Book","","","","Delete interactive book child topic (example #2)",""
"failed","Sat May 29 09:20:11 UTC 2021","Sat May 29 09:20:50 UTC 2021","39292","","Graduation Project","","","","Delete graduation project topic (example #3)",""
"passed","Sat May 29 09:12:08 UTC 2021","Sat May 29 09:12:40 UTC 2021","32627","","EEM Complex","","","","Open created EEM Complex (example #2)",""
"failed","Sat May 29 09:11:04 UTC 2021","Sat May 29 09:11:37 UTC 2021","33203","","Interactive Book","","","","Student see interactive book content (example #3)",""
"failed","Sat May 29 09:10:31 UTC 2021","Sat May 29 09:11:04 UTC 2021","32822","","Interactive Book","","","","Student see interactive book content (example #2)",""
"failed","Sat May 29 09:26:01 UTC 2021","Sat May 29 09:26:50 UTC 2021","48381","","Interactive Book","","","","Delete interactive book topic (example #3)",""
"passed","Sat May 29 09:14:01 UTC 2021","Sat May 29 09:14:32 UTC 2021","30773","","Course Project","","","","Assign course project topic to student (example #3)",""
"passed","Sat May 29 09:08:10 UTC 2021","Sat May 29 09:08:45 UTC 2021","34698","","Interactive Book","","","","Add text to interactive book topic (example #2)",""
"passed","Sat May 29 09:17:05 UTC 2021","Sat May 29 09:17:32 UTC 2021","26554","","Graduation Project","","","","Student see edited graduation Project topic (example #1)",""
"passed","Sat May 29 09:05:41 UTC 2021","Sat May 29 09:06:15 UTC 2021","33908","","Interactive Book","","","","Create new interactive book topic (example #2)",""
"passed","Sat May 29 09:05:01 UTC 2021","Sat May 29 09:05:34 UTC 2021","32699","","Graduation Project","","","","Create new graduation project topic (example #1)",""
"passed","Sat May 29 09:13:37 UTC 2021","Sat May 29 09:14:20 UTC 2021","43553","","Interactive Book","","","","Add interactive book child topic (example #3)",""
"failed","Sat May 29 09:07:39 UTC 2021","Sat May 29 09:08:30 UTC 2021","51608","","Course Project","","","","Student select course project topic (example #1)",""
"failed","Sat May 29 09:08:51 UTC 2021","Sat May 29 09:09:29 UTC 2021","37674","","Graduation Project","","","","Student select graduation project topic (example #3)",""
"passed","Sat May 29 09:19:36 UTC 2021","Sat May 29 09:20:27 UTC 2021","50789","","EEM Complex","","","","Add file to EEM Complex section (example #2)",""
"passed","Sat May 29 09:19:39 UTC 2021","Sat May 29 09:20:11 UTC 2021","32199","","Graduation Project","","","","Delete graduation project topic (example #2)",""
"failed","Sat May 29 09:08:45 UTC 2021","Sat May 29 09:09:20 UTC 2021","34962","","Interactive Book","","","","Add text to interactive book topic (example #3)",""
"passed","Sat May 29 09:22:35 UTC 2021","Sat May 29 09:23:11 UTC 2021","35749","","Interactive Book","","","","Edit interactive book topic (example #1)",""
"passed","Sat May 29 09:05:00 UTC 2021","Sat May 29 09:05:39 UTC 2021","39593","","Course Project","","","","Create new course project topic (example #1)",""
"failed","Sat May 29 09:13:46 UTC 2021","Sat May 29 09:14:25 UTC 2021","38437","","Graduation Project","","","","Assign graduation project topic to student (example #3)",""
"failed","Sat May 29 09:10:16 UTC 2021","Sat May 29 09:11:00 UTC 2021","43882","","Course Project","","","","Confirm student on course project topic (example #1)",""
"failed","Sat May 29 09:18:56 UTC 2021","Sat May 29 09:19:29 UTC 2021","33066","","Interactive Book","","","","Student cannot see hide interactive book (example #3)",""
"failed","Sat May 29 09:12:40 UTC 2021","Sat May 29 09:13:22 UTC 2021","41855","","EEM Complex","","","","Open created EEM Complex (example #3)",""
"passed","Sat May 29 09:15:28 UTC 2021","Sat May 29 09:16:11 UTC 2021","43378","","EEM Complex","","","","Add folder to EEM Complex section (example #2)",""
"failed","Sat May 29 09:09:04 UTC 2021","Sat May 29 09:09:34 UTC 2021","30223","","Course Project","","","","Student select course project topic (example #3)",""
"failed","Sat May 29 09:15:54 UTC 2021","Sat May 29 09:16:29 UTC 2021","35864","","Graduation Project","","","","Edit graduation project topic (example #3)",""
"failed","Sat May 29 09:09:58 UTC 2021","Sat May 29 09:10:31 UTC 2021","33329","","Interactive Book","","","","Student see interactive book content (example #1)",""
"failed","Sat May 29 09:18:08 UTC 2021","Sat May 29 09:18:41 UTC 2021","33076","","Course Project","","","","Student see edited course project topic (example #2)",""
"passed","Sat May 29 09:17:32 UTC 2021","Sat May 29 09:17:56 UTC 2021","24197","","Graduation Project","","","","Student see edited graduation Project topic (example #2)",""
"failed","Sat May 29 09:17:34 UTC 2021","Sat May 29 09:18:08 UTC 2021","33691","","Course Project","","","","Student see edited course project topic (example #1)",""
"passed","Sat May 29 09:24:32 UTC 2021","Sat May 29 09:24:59 UTC 2021","26966","","EEM Complex","","","","Edit EEM Complex (example #4)",""
"passed","Sat May 29 09:16:16 UTC 2021","Sat May 29 09:16:51 UTC 2021","34755","","Course Project","","","","Edit course project topic (example #3)",""
"passed","Sat May 29 09:15:30 UTC 2021","Sat May 29 09:15:53 UTC 2021","23343","","Graduation Project","","","","Edit graduation project topic (example #2)",""
"passed","Sat May 29 09:04:54 UTC 2021","Sat May 29 09:05:33 UTC 2021","39291","","EEM Complex","","","","Create new EEM Complex (example #1)",""
"passed","Sat May 29 09:15:07 UTC 2021","Sat May 29 09:15:48 UTC 2021","41174","","Interactive Book","","","","Hide interactive book child topic (example #1)",""
"failed","Sat May 29 09:27:48 UTC 2021","Sat May 29 09:28:31 UTC 2021","43579","","EEM Complex","","","","Delete EEM Complex (example #4)",""
"passed","Sat May 29 09:15:43 UTC 2021","Sat May 29 09:16:16 UTC 2021","32887","","Course Project","","","","Edit course project topic (example #2)",""
"failed","Sat May 29 09:06:01 UTC 2021","Sat May 29 09:06:54 UTC 2021","52885","","EEM Complex","","","","Create new EEM Complex (example #3)",""
"passed","Sat May 29 09:12:38 UTC 2021","Sat May 29 09:13:09 UTC 2021","30956","","Graduation Project","","","","Assign graduation project topic to student (example #1)",""
